"feed_tables","DM %","CP %","CF %","CFat %","Ash %","Insol. ash %","NDF %","ADF %","Lignin %","WICW %","Starch %","Starch (enz.) %","Sugars %","Lactose %","GE kcal/kg","GE MJ/kg"
"Magnesium_oxide",100,0,0,0,99.3,0,0,0,0,0,0,0,0,NA,0,0
"Magnesium_oxide,_granular",100,0,0,0,99.3,0,0,0,0,0,0,0,0,NA,0,0
"Magnesium_oxide,_powder",100,0,0,0,99.3,0,0,0,0,0,0,0,0,NA,0,0
"Magnesium_phosphate",100,0,0,0,87.9,1.1,0,0,0,0,0,0,0,NA,0,0
"Magnesium_sulfate_heptahydrate_RG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Magnesium_sulfate_monohydrate_RG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Maize",100,8.8,2.6,4.1,1.4,0.06,12.4,3.1,0.6,9.6,73.9,68.8,2,NA,4450,18.6
"Maize_bran",100,11.3,8.6,4.7,4.5,0.8,39.3,10.6,1.7,41.8,38.6,35.9,2.8,NA,4570,19.1
"Maize_bran,_starch_production",100,12.3,11.7,2.7,2.1,0.4,51.8,13.9,1.3,49.5,33.4,31.1,0.9,NA,4480,18.7
"Maize_distillers_grains_and_solubles,_oil_<_6_%,_dried",100,27.9,8.4,5.1,6.8,0.7,36.1,10.9,2.3,36.7,13.5,12.5,0.9,NA,4590,19.2
"Maize_distillers_grains_with_solubles,_ethanol_production,_dried",100,30.4,7.9,14,4.9,0.5,35.6,10.5,3,34.8,5,4.3,2.9,NA,5180,21.7
"Maize_flour_byproduct,_protein_8-18%,_oil_<5%",100,15.5,8,2.4,5,0.06,36.8,10,1.6,35.8,37.1,34.5,6.8,NA,4340,18.2
"Maize_flour_byproduct,_protein_8-18%,_oil_14-30%",100,15.3,5.9,22.9,6,0.08,28.6,7.7,1.2,28,29.3,27.2,7.5,NA,5350,22.4
"Maize_flour_byproduct,_protein_8-18%,_oil_5-14%",100,14.1,5.8,8,4.3,2.1,28.5,7.7,1.2,27.9,42.8,39.8,5.4,NA,4630,19.4
"Maize_flour,_crude_fibre_<_2%",100,8.1,1.1,2.8,0.8,0.07,4.4,1.4,0.4,10.7,79.7,74.2,0.8,NA,4460,18.7
"Maize_flour,_crude_fibre_2-10%",100,10.4,4.9,7.8,2.5,0.09,21.1,5.8,1,24.4,56.4,52.4,2.8,NA,4710,19.7
"Maize_germ_meal,_oil_<_5%",100,27,10.1,2.7,3.4,1.8,42.6,11.9,2.3,43.6,20.3,18.9,1,NA,4620,19.4
"Maize_germ_meal,_oil_5-20%",100,26.4,9.5,9.6,2.2,0.1,40.6,11.2,2.7,41.2,22.6,21,0.7,NA,5020,21
"Maize_germs",100,13.5,8.6,48.4,1.3,0.08,37.8,10.3,2.2,37.9,12,11.2,0.4,NA,6900,28.9
"Maize_starch",100,0.8,0.2,0.4,0.2,0,0,0,0,0,95,95,0,NA,4180,17.5
"Maize,_extruded",100,8.8,2.6,4.1,1.4,0.06,12.4,3.1,0.6,9.6,73.9,68.8,2,NA,4450,18.6
"Maize,_flaked",100,8.8,2.6,4.1,1.4,0.06,12.4,3.1,0.6,9.6,73.9,68.8,2,NA,4450,18.6
