"CODE_PRODUIT","LIBELLE_PRODUIT","SIQO_FILIERE","RICA_var","RICA_var_libelle","RICA_var_code","RICA_var_code_libelle","species","production_type"
"A224","RUCHOTTESCHAMBERTIN","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A675","ROUSSETTE DU BUGEY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A66","ROSETTE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A1163","ROSEE DES PYRENEES CATALANES","IGP, VIANDES DE BOUCHERIE ET PRODUITS D ABATTAGE",NA,NA,NA,NA,"cattle","meat"
"A7","ROSE DES RICEYS","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A107","ROSE DE LOIRE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A106","ROSE D ANJOU","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A432","ROQUEFORT","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","sheep","milk"
"A223","ROMANEESAINTVIVANT","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A222","ROMANEECONTI","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A431","ROCAMADOUR","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","goats","milk"
"A514","RIZ DE CAMARGUE","IGP, RIZ","CODE3","Produits végétaux","120","Riz","cereal","crop"
"A314","RIVESALTES","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A810","RILLETTES DE TOURS","IGP, CONSERVES ET PREPARATIONS A BASE DE VIANDE ABATS ET SANG",NA,NA,NA,NA,"swine","meat"
"A666","RIGOTTE DE CONDRIEU","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","goats","milk"
"A221","RICHEBOURG","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A105","REUILLY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"LA1098","REINECLAUDE","LR, FRUITS A PEPIN ET A NOYAU",NA,NA,NA,NA,NA,"fruits"
"A220","REGNIE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A430","REBLOCHON OU REBLOCHON DE SAVOIE","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle","milk"
"A1148","RATAFIA DE CHAMPAGNE OU RATAFIA CHAMPENOIS","IG, EAUXDEVIE ET AUTRES ALCOOLS",NA,NA,NA,NA,NA,NA
"A313","RASTEAU","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
